Internal ID Variant (Do Not Edit),Category,SKU,Items Name (Do Not Edit),ecommerce item? (Yes/No),Pre-order ? (Yes/No),Processing days,Weight (gm),Length (cm),Width (cm),Height (cm),Condition,Brand Name,Variant name,Basic - Price,Image 1 (for Online Store),Image 2 (for Online Store),Image 3 (for Online Store),Image 4 (for Online Store),Image 5 (for Online Store),Image 6 (for Online Store),Image 7 (for Online Store),Image 8 (for Online Store),Image 9 (for Online Store),Image 10 (for Online Store),Image 11 (for Online Store),Image 12 (for Online Store),Coffeeshop - Price,Barbershop - Price,In Stock,Track Stock,Track Alert,Stock Alert,Track Cost,Cost Amount,Modifier Set - Cashier - 384185
154329237,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Wedding Royal Grooming Platinum,1000000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,300000,No
154329238,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Men Massage Service,135000,,,,,,,,,,,,,,,-1,Yes,No,0,Yes,40500,No
154329239,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Ear Candle,30000,,,,,,,,,,,,,,,-14,Yes,No,0,Yes,9000,No
154329240,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Ear Singeing,65000,,,,,,,,,,,,,,,-14,Yes,No,0,Yes,19500,No
154329266,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Ear Wax,60000,,,,,,,,,,,,,,,-2,Yes,No,0,Yes,18000,No
154329267,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Nose Wax,60000,,,,,,,,,,,,,,,-19,Yes,No,0,Yes,18000,No
154329268,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Charcoal Deep Cleansing,95000,,,,,,,,,,,,,,,-1,Yes,No,0,Yes,28500,No
154329269,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Charcoal Nose Cleansing Strip,55000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,16500,No
154329270,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Beard & Mustache Colour,200000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,60000,No
154329271,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Hair Tattoo Single,35000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,10500,No
154329272,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Hair Tattoo Double Side,65000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,19500,No
154329273,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Hair Tattoo Full,100000,,,,,,,,,,,,,,,0,Yes,No,0,Yes,30000,No
154949712,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Redbox Earl Grooming,225000,,,,,,,,,,,,,,,-1,Yes,No,0,Yes,62850,No
188578054,Premium Cutting,,Ubay,No,No,0,,,,,,Unbranded,Hair Care Keratin,400000,,,,,,,,,,,,,,,-1,Yes,No,0,Yes,120000,No
